Date/Time,Electricity:Facility [J](Hourly),Fans:Electricity [J](Hourly),Cooling:Electricity [J](Hourly),Heating:Electricity [J](Hourly),InteriorLights:Electricity [J](Hourly),InteriorEquipment:Electricity [J](Hourly),NaturalGas:Facility [J](Hourly),Heating:NaturalGas [J](Hourly),Water Heater:WaterSystems:NaturalGas [J](Hourly),Electricity:Facility [J](Monthly),NaturalGas:Facility [J](Monthly),Water:Facility [m3](Monthly),EnergyTransfer:Facility [J](Monthly),ElectricityPurchased:Facility [J](Monthly),ElectricitySurplusSold:Facility [J](Monthly),ElectricityNet:Facility [J](Monthly),Carbon Equivalent:Facility [kg](Monthly),PlantLoopHeatingDemand:Facility [J](Monthly),MainsWater:Facility [m3](Monthly),WaterEnvironmentalFactors:Facility [L](Monthly),Source:Facility [J](Monthly),SO2:Facility [kg](Monthly),NOx:Facility [kg](Monthly),N2O:Facility [kg](Monthly),PM:Facility [kg](Monthly),PM2.5:Facility [kg](Monthly),PM10:Facility [kg](Monthly),CO:Facility [kg](Monthly),CO2:Facility [kg](Monthly),CH4:Facility [kg](Monthly),NH3:Facility [kg](Monthly),NMVOC:Facility [kg](Monthly),Hg:Facility [kg](Monthly),Pb:Facility [kg](Monthly),Nuclear High:Facility [kg](Monthly),Nuclear Low:Facility [m3](Monthly) 
 01/01  01:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  02:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631070.7055417597,0.0,1631070.7055417597 
 01/01  03:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  04:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631044.2743541154,0.0,1631044.2743541154 
 01/01  05:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631017.3551184032,0.0,1631017.3551184032 
 01/01  06:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  07:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631030.292482886,0.0,1631030.292482886 
 01/01  08:00:00,8311867.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631001.4174538453,0.0,1631001.4174538453 
 01/01  09:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  10:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631118.2883128524,0.0,1631118.2883128524 
 01/01  11:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631114.5617812662,0.0,1631114.5617812662 
 01/01  12:00:00,7967810.3650925625,580541.9540174982,457200.84482052515,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  13:00:00,9156194.505721683,1116426.834649035,1109700.104818109,0.0,990009.6523200001,5940057.91392,1631120.4772721215,0.0,1631120.4772721215 
 01/01  14:00:00,8498818.699077599,893141.467719228,675609.6651038325,0.0,990009.6523200001,5940057.91392,1631138.611552728,0.0,1631138.611552728 
 01/01  15:00:00,7802500.657041196,558213.4173245175,314219.67346213816,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  16:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631094.9585740545,0.0,1631094.9585740545 
 01/01  17:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631099.7675592282,0.0,1631099.7675592282 
 01/01  18:00:00,6930067.566254539,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  19:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631104.4508459049,0.0,1631104.4508459049 
 01/01  20:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631028.3024820131,0.0,1631028.3024820131 
 01/01  21:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/01  22:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631100.3954420276,0.0,1631100.3954420276 
 01/01  23:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,1631012.1767537873,0.0,1631012.1767537873 
 01/01  24:00:00,15220867.566254541,0.0,0.0,0.0,990009.6523200001,5940057.91392,72000.0,0.0,72000.0 
 01/02  01:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631099.2060997968,0.0,1631099.2060997968 
 01/02  02:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631101.836308491,0.0,1631101.836308491 
 01/02  03:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0 
 01/02  04:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631084.1798710336,0.0,1631084.1798710336 
 01/02  05:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631076.5446716896,0.0,1631076.5446716896 
 01/02  06:00:00,18190896.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,72000.0,0.0,72000.0 
 01/02  07:00:00,25735347.200213533,7296791.138226937,247659.53877205553,0.0,1980019.3046400002,7920077.218560001,1631021.3963574364,0.0,1631021.3963574364 
 01/02  08:00:00,22542852.568295464,7296791.138226937,4126.297573987238,0.0,5940057.91392,7920077.218560001,3587512.6495254626,1956400.459627034,1631112.1898984287 
 01/02  09:00:00,46222924.896998726,7296791.138226937,3285786.275237256,0.0,17820173.74176,17820173.74176,1665826.9022454266,34459.13126359799,1631367.7709818284 
 01/02  10:00:00,50664832.65757706,7296791.138226937,7727694.035815595,0.0,17820173.74176,17820173.74176,1631403.93234838,0.0,1631403.93234838 
 01/02  11:00:00,53132874.5783421,7296791.138226937,10195735.956580639,0.0,17820173.74176,17820173.74176,1631409.6796826436,0.0,1631409.6796826436 
 01/02  12:00:00,54834756.2303223,7296791.138226937,11897617.608560832,0.0,17820173.74176,17820173.74176,1631477.2578571388,0.0,1631477.2578571388 
 01/02  13:00:00,52513802.807607636,7296791.138226937,11556683.49048617,0.0,17820173.74176,15840154.437120002,3190990.030870597,0.0,3190990.030870597 
 01/02  14:00:00,55421858.183338955,7296791.138226937,12484719.561577488,0.0,17820173.74176,17820173.74176,1631453.1909538019,0.0,1631453.1909538019 
 01/02  15:00:00,55249534.82663206,7296791.138226937,12312396.204870593,0.0,17820173.74176,17820173.74176,1631365.6765243388,0.0,1631365.6765243388 
 01/02  16:00:00,54570026.65398984,7296791.138226937,11632888.032228373,0.0,17820173.74176,17820173.74176,1631360.270967723,0.0,1631360.270967723 
 01/02  17:00:00,54534185.980785474,7296791.138226937,11597047.359023996,0.0,17820173.74176,17820173.74176,1631395.4663242418,0.0,1631395.4663242418 
 01/02  18:00:00,34821197.55544942,7296791.138226937,7724213.370807948,0.0,9900096.523200002,9900096.523200002,1631255.3902833494,0.0,1631255.3902833494 
 01/02  19:00:00,34604131.64181945,7296791.138226937,5156405.371097971,0.0,5940057.91392,7920077.218560001,1631234.4136643815,0.0,1631234.4136643815 
 01/02  20:00:00,33656050.95871246,7296791.138226937,4208324.687990983,0.0,5940057.91392,7920077.218560001,1631160.686132221,0.0,1631160.686132221 
 01/02  21:00:00,30808082.949319012,7296791.138226937,3340375.983237534,0.0,3960038.6092800004,7920077.218560001,1631106.2798230003,0.0,1631106.2798230003 
 01/02  22:00:00,30036900.720096145,7296791.138226937,2569193.7540146653,0.0,3960038.6092800004,7920077.218560001,72000.0,0.0,72000.0 
 01/02  23:00:00,18190896.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,1631093.5891456548,0.0,1631093.5891456548 
 01/02  24:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631085.8476147053,0.0,1631085.8476147053 
 01/03  01:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0 
 01/03  02:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631078.4670758857,0.0,1631078.4670758857 
 01/03  03:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631070.991678545,0.0,1631070.991678545 
 01/03  04:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,72000.0,0.0,72000.0 
 01/03  05:00:00,17200886.87089454,0.0,0.0,0.0,990009.6523200001,7920077.218560001,1631063.4598118144,0.0,1631063.4598118144 
 01/03  06:00:00,18190896.523214538,0.0,0.0,0.0,1980019.3046400002,7920077.218560001,1631105.6827523329,0.0,1631105.6827523329 
 01/03  07:00:00,26035482.270133354,7296791.138226937,547794.6086918782,0.0,1980019.3046400002,7920077.218560001,72000.0,0.0,72000.0 
 01/03  08:00:00,23290811.631595846,7296791.138226937,752085.3608743672,0.0,5940057.91392,7920077.218560001,1927861.2210086964,296752.6992469179,1631108.5217617785 
 01/03  09:00:00,49876340.48040139,7296791.138226937,6939201.858639925,0.0,17820173.74176,17820173.74176,1631351.6918772415,0.0,1631351.6918772415 
 01/03  10:00:00,53403954.50024321,7296791.138226937,10466815.878481738,0.0,17820173.74176,17820173.74176,1631393.7394730216,0.0,1631393.7394730216 
 01/03  11:00:00,55762931.29452032,7296791.138226937,12825792.672758851,0.0,17820173.74176,17820173.74176,3190782.435456544,0.0,3190782.435456544 
 01/03  12:00:00,56699197.60241115,7296791.138226937,13762058.980649672,0.0,17820173.74176,17820173.74176,1631444.434478379,0.0,1631444.434478379 
 01/03  13:00:00,53913516.24574286,7296791.138226937,12956396.928621383,0.0,17820173.74176,15840154.437120002,1631452.616761585,0.0,1631452.616761585 
